0.6211131639 
0.2397530317 
0.1009364594 
0.01990649814 
0.009933072946 
0.001781591099 
0.002008829133 
0.0002769439965 
0.0006277021561 
3.696171899e-05 
0.0002230714687 
8.52245738e-07 
8.668691579e-05 
1.562900446e-33 3.158666103e-33 6.450701742e-33 3.158666103e-33 6.38375373e-33 1.303705107e-32 6.450701742e-33 1.303705107e-32 2.662457042e-32 
7.353877729e-37 5.802765279e-35 1.83989994e-35 5.802765279e-35 4.578820334e-33 1.451820098e-33 1.83989994e-35 1.451820098e-33 4.603328901e-34 
6.177760176e-39 -8.259471126e-36 -2.222206788e-36 -8.259471126e-36 1.104265322e-32 2.971020609e-33 -2.222206788e-36 2.971020609e-33 7.993516852e-34 
7.434912705e-35 9.056076541e-34 5.121150015e-34 9.056076541e-34 1.103073104e-32 6.237803772e-33 5.121150015e-34 6.237803772e-33 3.527435831e-33 
3.852689615e-36 1.358935661e-34 5.071159382e-35 1.358935661e-34 4.793290704e-33 1.788719055e-33 5.071159382e-35 1.788719055e-33 6.674988138e-34 
2.605703246e-35 2.567226584e-34 1.629961351e-34 2.567226584e-34 2.52931808e-33 1.60589281e-33 1.629961351e-34 1.60589281e-33 1.019599606e-33 
1.313966327e-38 -2.866714856e-36 -7.319439889e-37 -2.866714856e-36 6.254387117e-34 1.59690143e-34 -7.319439889e-37 1.59690143e-34 4.077288679e-35 
6.823934894e-36 4.903491057e-35 3.774163352e-35 4.903491057e-35 3.523513181e-34 2.712009498e-34 3.774163352e-35 2.712009498e-34 2.087404002e-34 
7.349224083e-37 -6.523349361e-36 8.571552014e-37 -6.523349361e-36 5.790282948e-35 -7.608317249e-36 8.571552014e-37 -7.608317249e-36 9.997178354e-37 
2.712119988e-36 1.336796604e-35 1.33369997e-35 1.336796604e-35 6.589034291e-35 6.573771068e-35 1.33369997e-35 6.573771068e-35 6.558543201e-35 
9.203315871e-37 -1.936975232e-36 2.766827697e-36 -1.936975232e-36 4.07665357e-36 -5.82320198e-36 2.766827697e-36 -5.82320198e-36 8.318018864e-36 
1.474634802e-36 5.213647669e-36 6.69325907e-36 5.213647669e-36 1.843312119e-35 2.366436388e-35 6.69325907e-36 2.366436388e-35 3.038021137e-35 
7.616011245e-37 -3.422137466e-37 2.632192291e-36 -3.422137466e-37 1.537684814e-37 -1.182735105e-36 2.632192291e-36 -1.182735105e-36 9.09719804e-36 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
